settlement_id,bank_txn_id,true_class,should_match
STL-000101,BNK-50001,perfect_match,True
STL-000102,BNK-50002,perfect_match,True
STL-000103,BNK-50003,perfect_match,True
STL-000104,BNK-50004,perfect_match,True
STL-000105,BNK-50005,perfect_match,True
STL-000106,BNK-50006,perfect_match,True
STL-000107,BNK-50007,bank_charge,True
STL-000108,BNK-50008,perfect_match,True
STL-000109,BNK-50009,perfect_match,True
STL-000110,BNK-50010,perfect_match,True
STL-000111,BNK-50011,perfect_match,True
STL-000112,BNK-50012,perfect_match,True
STL-000113,BNK-50013,perfect_match,True
STL-000114,BNK-50014,perfect_match,True
STL-000115,BNK-50015,perfect_match,True
STL-000116,BNK-50016,perfect_match,True
STL-000117,BNK-50017,perfect_match,True
STL-000118,BNK-50018,perfect_match,True
STL-000119,BNK-50019,timing_delay,True
STL-000120,BNK-50020,perfect_match,True
STL-000121,BNK-50021,perfect_match,True
STL-000122,BNK-50022,perfect_match,True
STL-000123,,missing_from_bank,False
STL-000124,BNK-50024,perfect_match,True
STL-000125,BNK-50025,perfect_match,True
STL-000126,BNK-50026,perfect_match,True
STL-000127,BNK-50027,timing_delay,True
STL-000128,BNK-50028,timing_delay,True
STL-000129,BNK-50029,perfect_match,True
STL-000130,BNK-50030,amount_mismatch,False
STL-000131,BNK-50031,perfect_match,True
STL-000132,BNK-50032,perfect_match,True
STL-000133,BNK-50033,perfect_match,True
STL-000134,BNK-50034,bank_charge,True
STL-000135,BNK-50035,perfect_match,True
STL-000136,BNK-50036,perfect_match,True
STL-000137,BNK-50037,perfect_match,True
STL-000138,BNK-50038,perfect_match,True
STL-000139,BNK-50039,perfect_match,True
STL-000140,BNK-50040,perfect_match,True
STL-000141,BNK-50041,perfect_match,True
STL-000142,BNK-50042,perfect_match,True
STL-000143,BNK-50043,perfect_match,True
STL-000144,BNK-50044,perfect_match,True
STL-000145,BNK-50045,perfect_match,True
STL-000146,BNK-50046,perfect_match,True
STL-000147,BNK-50047,perfect_match,True
STL-000148,BNK-50048,perfect_match,True
STL-000149,,missing_from_bank,False
STL-000150,BNK-50050,perfect_match,True
STL-000151,BNK-50051,perfect_match,True
STL-000152,BNK-50052,perfect_match,True
STL-000153,BNK-50053,perfect_match,True
STL-000154,BNK-50054,perfect_match,True
STL-000155,BNK-50055,perfect_match,True
STL-000156,BNK-50056,amount_mismatch,False
STL-000157,BNK-50057,perfect_match,True
STL-000158,BNK-50058,perfect_match,True
STL-000159,BNK-50059,perfect_match,True
STL-000160,BNK-50060,perfect_match,True
STL-000161,BNK-50061,timing_delay,True
STL-000162,BNK-50062,perfect_match,True
STL-000163,BNK-50063,perfect_match,True
