bank_txn_id,utr_reference,credit_amount_inr,credit_date,bank_narration,balance_after
BNK-50004,UTR-SYN-000104,1451900,2026-08-01T00:00:00,NEFT from Razorpay UTR-SYN-000104,11451900
BNK-50035,UTR-SYN-000135,3112300,2026-08-01T00:00:00,NEFT from Razorpay UTR-SYN-000135,14564200
BNK-50060,UTR-SYN-000160,3907600,2026-08-01T00:00:00,NEFT from Razorpay UTR-SYN-000160,18471800
BNK-50092,UTR-SYN-000192,1100715,2026-08-02T00:00:00,NEFT from Razorpay UTR-SYN-000192,19572515
BNK-50040,UTR-SYN-000140,6923900,2026-08-03T00:00:00,NEFT from Razorpay UTR-SYN-000140,26496415
BNK-50048,UTR-SYN-000148,336900,2026-08-03T00:00:00,NEFT from Razorpay UTR-SYN-000148,26833315
BNK-50056,UTR-SYN-000156,129225,2026-08-03T00:00:00,NEFT from Razorpay UTR-SYN-000156,26962540
BNK-50097,UTR-SYN-000197,220400,2026-08-03T00:00:00,NEFT from Razorpay UTR-SYN-000197,27182940
BNK-50128,UTR-SYN-000228,2969990,2026-08-03T00:00:00,NEFT from Razorpay UTR-SYN-000228,30152930
BNK-50148,UTR-SYN-000246,48570700,2026-08-03T00:00:00,NEFT from Razorpay UTR-SYN-000246,78723630
BNK-50149,UTR-SYN-000246,48570700,2026-08-03T00:00:00,NEFT from Razorpay UTR-SYN-000246,127294330
BNK-50002,UTR-SYN-000102,749800,2026-08-04T00:00:00,NEFT from Razorpay UTR-SYN-000102,128044130
BNK-50022,UTR-SYN-000122,18237100,2026-08-04T00:00:00,NEFT from Razorpay UTR-SYN-000122,146281230
BNK-50055,UTR-SYN-000155,49304400,2026-08-04T00:00:00,NEFT from Razorpay UTR-SYN-000155,195585630
BNK-50078,UTR-SYN-000178,4830900,2026-08-04T00:00:00,NEFT from Razorpay UTR-SYN-000178,200416530
BNK-50080,UTR-SYN-000180,39038800,2026-08-04T00:00:00,NEFT from Razorpay UTR-SYN-000180,239455330
BNK-50105,UTR-SYN-000205,38809996,2026-08-04T00:00:00,NEFT from Razorpay UTR-SYN-000205,278265326
BNK-50050,UTR-SYN-000150,35404600,2026-08-05T00:00:00,NEFT from Razorpay UTR-SYN-000150,313669926
BNK-50054,UTR-SYN-000154,44000,2026-08-05T00:00:00,NEFT from Razorpay UTR-SYN-000154,313713926
BNK-50108,UTR-SYN-000208,75746,2026-08-05T00:00:00,NEFT from Razorpay UTR-SYN-000208,313789672
BNK-50111,UTR-SYN-000211,76639,2026-08-05T00:00:00,NEFT from Razorpay UTR-SYN-000211,313866311
BNK-50116,UTR-SYN-000216,2674500,2026-08-05T00:00:00,NEFT from Razorpay UTR-SYN-000216,316540811
BNK-50134,UTR-SYN-000234,39742400,2026-08-05T00:00:00,NEFT from Razorpay UTR-SYN-000234,356283211
BNK-50136,UTR-SYN-000236,2181300,2026-08-05T00:00:00,NEFT from Razorpay UTR-SYN-000236,358464511
BNK-50137,UTR-SYN-000237,896700,2026-08-05T00:00:00,NEFT from Razorpay UTR-SYN-000237,359361211
BNK-50138,UTR-SYN-000238,15300,2026-08-05T00:00:00,NEFT from Razorpay UTR-SYN-000238,359376511
BNK-50139,UTR-SYN-000239,36312900,2026-08-05T00:00:00,NEFT from Razorpay UTR-SYN-000239,395689411
BNK-50062,UTR-SYN-000162,775100,2026-08-06T00:00:00,NEFT from Razorpay UTR-SYN-000162,396464511
BNK-50073,UTR-SYN-000173,44189500,2026-08-06T00:00:00,NEFT from Razorpay UTR-SYN-000173,440654011
BNK-50143,UTR-SYN-000243,31366700,2026-08-06T00:00:00,NEFT from Razorpay UTR-SYN-000243,472020711
BNK-50144,UTR-SYN-000243,31366700,2026-08-06T00:00:00,NEFT from Razorpay UTR-SYN-000243,503387411
BNK-50151,UTR-SYN-000248,76200,2026-08-06T00:00:00,NEFT from Razorpay UTR-SYN-000248,503463611
BNK-50066,UTR-SYN-000166,2639000,2026-08-07T00:00:00,NEFT from Razorpay UTR-SYN-000166,506102611
BNK-50086,UTR-SYN-000186,1400469,2026-08-07T00:00:00,NEFT from Razorpay UTR-SYN-000186,507503080
BNK-50011,UTR-SYN-000111,33200,2026-08-08T00:00:00,NEFT from Razorpay UTR-SYN-000111,507536280
BNK-50052,UTR-SYN-000152,34978600,2026-08-08T00:00:00,NEFT from Razorpay UTR-SYN-000152,542514880
BNK-50063,UTR-SYN-000163,726700,2026-08-08T00:00:00,NEFT from Razorpay UTR-SYN-000163,543241580
BNK-50070,UTR-SYN-000170,4978400,2026-08-08T00:00:00,NEFT from Razorpay UTR-SYN-000170,548219980
BNK-50081,UTR-SYN-000181,8800,2026-08-08T00:00:00,NEFT from Razorpay UTR-SYN-000181,548228780
BNK-50099,UTR-SYN-000199,257308,2026-08-08T00:00:00,NEFT from Razorpay UTR-SYN-000199,548486088
BNK-50015,UTR-SYN-000115,41849800,2026-08-09T00:00:00,NEFT from Razorpay UTR-SYN-000115,590335888
BNK-50017,UTR-SYN-000117,16344700,2026-08-09T00:00:00,NEFT from Razorpay UTR-SYN-000117,606680588
