settlement_id,utr_reference,amount_inr,settlement_date,fee_inr,tax_inr,narration,batch_id
STL-100051,UTR2026080501051,46744,2026-08-05,0,0,Settlement for INV-2051 batch 05Aug,BATCH-0005
STL-100084,UTR2026081001084,26340703,2026-08-10,0,0,Settlement for INV-2084 batch 10Aug,BATCH-0008
STL-100009,UTR2026081401009,27242047,2026-08-14,0,0,Settlement for INV-2009 batch 14Aug,BATCH-0000
STL-100098,UTR2026080301098,32033560,2026-08-03,0,0,Settlement misc batch 03Aug ref garbled,BATCH-0009
STL-100117,UTR2026082801117,19169753,2026-08-28,0,0,Settlement for INV-2117 batch 28Aug,BATCH-0011
STL-100060,UTR2026082101060,1897583,2026-08-21,0,0,Settlement for INV-2060 batch 21Aug,BATCH-0006
STL-100079,UTR2026083101079,5055260,2026-08-31,0,0,Settlement for INV-2079 batch 31Aug,BATCH-0007
STL-100014,UTR2026080101014,12345416,2026-08-01,0,0,Settlement for INV-2014 batch 01Aug,BATCH-0001
STL-100069,UTR2026081101069,32793986,2026-08-11,0,0,Settlement for INV-2069 batch 11Aug,BATCH-0006
STL-100032,UTR2026080701032,359419,2026-08-07,0,0,Settlement for INV-2032 batch 07Aug,BATCH-0003
STL-100128,UTR2026082001128,83047,2026-08-20,0,0,Settlement for INV-2128 batch 20Aug,BATCH-0012
STL-100122,UTR2026082401122,4816966,2026-08-24,0,0,Settlement for INV-2122 batch 24Aug,BATCH-0012
STL-100036,UTR2026080901036,2462068,2026-08-12,0,0,Settlement for INV-2036 batch 09Aug,BATCH-0003
STL-100062,UTR2026081501062,672484,2026-08-15,0,0,Settlement for INV-2062 batch 15Aug,BATCH-0006
STL-100091,UTR2026080601091,6392177,2026-08-06,0,0,Settlement for INV-2091 batch 06Aug,BATCH-0009
STL-100020,UTR2026081501020,4290121,2026-08-16,0,0,Settlement for INV-2020 batch 15Aug,BATCH-0002
STL-100029,UTR2026082001029,41204650,2026-08-20,0,0,Settlement for INV-2029 batch 20Aug,BATCH-0002
STL-100074,UTR2026080901074,23231652,2026-08-09,0,0,Settlement for INV-2074 batch 09Aug,BATCH-0007
STL-100087,UTR2026081501087,3744404,2026-08-15,0,0,Settlement for INV-2087 batch 15Aug,BATCH-0008
STL-100112,UTR2026080201112,71799,2026-08-02,0,0,Settlement for INV-2112 batch 02Aug,BATCH-0011
STL-100148,UTR2026081801148,323743,2026-08-18,0,0,Settlement for INV-2148 batch 18Aug,BATCH-0014
STL-100100,UTR2026080801100,29299983,2026-08-11,0,0,Settlement for INV-2100 batch 08Aug,BATCH-0010
STL-100082,UTR2026081001082,27035088,2026-08-10,673752,0,Settlement for INV-2082 batch 10Aug,BATCH-0008
STL-100077,UTR2026080201077,39248,2026-08-02,0,0,Settlement for INV-2077 batch 02Aug,BATCH-0007
STL-100073,UTR2026081601073,7688334,2026-08-16,0,0,Settlement for INV-2073 batch 16Aug,BATCH-0007
STL-100094,UTR2026080401094,5911149,2026-08-04,0,0,Settlement for INV-2094 batch 04Aug,BATCH-0009
STL-100127,UTR2026081901127,5910850,2026-08-19,0,0,Settlement for INV-2127 batch 19Aug,BATCH-0012
STL-100134,UTR2026083101134,1505461,2026-08-31,0,0,Settlement for INV-2134 batch 31Aug,BATCH-0013
STL-100090,UTR2026081901090,9630802,2026-08-19,0,0,Settlement for INV-2090 batch 19Aug,BATCH-0009
STL-100133,UTR2026082201133,40163,2026-08-22,0,0,Settlement misc batch 22Aug ref garbled,BATCH-0013
STL-100012,UTR2026080201012,22413,2026-08-02,0,0,Settlement for INV-2012 batch 02Aug,BATCH-0001
STL-100149,UTR2026082801149,4972312,2026-08-28,0,0,Settlement for INV-2149 batch 28Aug,BATCH-0014
STL-100059,UTR2026080901059,40080393,2026-08-09,0,0,Settlement for INV-2059 batch 09Aug,BATCH-0005
STL-100065,UTR2026082601065,83821,2026-08-26,0,0,Settlement misc batch 26Aug ref garbled,BATCH-0006
STL-100048,UTR2026083101048,7325179,2026-08-31,181587,0,Settlement for INV-2048 batch 31Aug,BATCH-0004
STL-100039,UTR2026080701039,1080102,2026-08-07,0,0,Settlement for INV-2039 batch 07Aug,BATCH-0003
STL-100058,UTR2026080701058,3862950,2026-08-07,0,0,Settlement for INV-2058 batch 07Aug,BATCH-0005
STL-100105,UTR2026080201105,25318834,2026-08-02,0,0,Settlement for INV-2105 batch 02Aug,BATCH-0010
STL-100135,UTR2026080201135,83216,2026-08-02,0,0,Settlement for INV-2135 batch 02Aug,BATCH-0013
STL-100001,UTR2026081201001,816238,2026-08-12,0,0,Settlement for INV-2001 split batch 12Aug,BATCH-0000
STL-100086,UTR2026082101086,1686773,2026-08-23,0,0,Settlement for INV-2086 batch 21Aug,BATCH-0008
STL-100002,UTR2026080201002,943761,2026-08-02,27357,0,Settlement for INV-2002 batch 02Aug,BATCH-0000
STL-100024,UTR2026082401024,79724,2026-08-24,0,0,Settlement for INV-2024 batch 24Aug,BATCH-0002
STL-100004,UTR2026082301004,2414375,2026-08-23,0,0,Settlement for INV-2004 batch 23Aug,BATCH-0000
STL-100021,UTR2026081701021,1368437,2026-08-17,0,0,Settlement for INV-2021 batch 17Aug,BATCH-0002
STL-100041,UTR2026081501041,3988168,2026-08-15,88181,0,Settlement for INV-2041 batch 15Aug,BATCH-0004
STL-100034,UTR2026082201034,24045845,2026-08-22,0,0,Settlement for INV-2034 split batch 22Aug,BATCH-0003
STL-100031,UTR2026080901031,1867681,2026-08-09,0,0,Settlement for INV-2031 batch 09Aug,BATCH-0003
STL-100099,UTR2026081601099,2290940,2026-08-16,0,0,Settlement for INV-2099 batch 16Aug,BATCH-0009
STL-100044,UTR2026082001044,19361581,2026-08-20,432121,0,Settlement for INV-2044 batch 20Aug,BATCH-0004
STL-100081,UTR2026082001081,32322921,2026-08-23,0,0,Settlement for INV-2081 batch 20Aug,BATCH-0008
STL-100023,UTR2026082201023,71766,2026-08-24,0,0,Settlement for INV-2023 batch 22Aug,BATCH-0002
STL-100116,UTR2026081901116,3684801,2026-08-22,0,0,Settlement for INV-2116 batch 19Aug,BATCH-0011
STL-100111,UTR2026082501111,69950,2026-08-25,0,0,Settlement for INV-2111 batch 25Aug,BATCH-0011
STL-100063,UTR2026082501063,29318,2026-08-25,0,0,Settlement for INV-2063 split batch 25Aug,BATCH-0006
STL-100103,UTR2026082801103,49956093,2026-08-28,0,0,Settlement for INV-2103 batch 28Aug,BATCH-0010
STL-100030,UTR2026082901030,2331621,2026-08-29,0,0,Settlement for INV-2030 batch 29Aug,BATCH-0003
STL-100147,UTR2026080301147,37472841,2026-08-03,0,0,Settlement for INV-2147 batch 03Aug,BATCH-0014
STL-100130,UTR2026080401130,11488485,2026-08-04,0,0,Settlement for INV-2130 batch 04Aug,BATCH-0013
STL-100110-DUP,UTR2026080801110D,64483,2026-08-08,0,0,Settlement for INV-2110 batch 08Aug,BATCH-0011
STL-100115,UTR2026082901115,18582,2026-08-29,0,0,Settlement for INV-2115 batch 29Aug,BATCH-0011
STL-100015,UTR2026080501015,26920299,2026-08-05,0,0,Settlement for INV-2015 batch 05Aug,BATCH-0001
STL-100108,UTR2026081601108,6456,2026-08-16,0,0,Settlement for INV-2108 batch 16Aug,BATCH-0010
STL-100016,UTR2026080201016,4960017,2026-08-02,0,0,Settlement for INV-2016 batch 02Aug,BATCH-0001
STL-100113,UTR2026081901113,15822792,2026-08-19,0,0,Settlement for INV-2113 batch 19Aug,BATCH-0011
STL-100037,UTR2026081201037,1347757,2026-08-12,0,0,Settlement for INV-2037 batch 12Aug,BATCH-0003
STL-100144,UTR2026081501144,7841075,2026-08-15,0,0,Settlement for INV-2144 batch 15Aug,BATCH-0014
STL-100123,UTR2026082601123,808236,2026-08-26,0,0,Settlement for INV-2123 batch 26Aug,BATCH-0012
STL-100129,UTR2026083001129,35416157,2026-09-01,0,0,Settlement for INV-2129 batch 30Aug,BATCH-0012
STL-100049,UTR2026082401049,1311417,2026-08-24,0,0,Settlement for INV-2049 batch 24Aug,BATCH-0004
STL-100027,UTR2026081801027,1793531,2026-08-18,0,0,Settlement for INV-2027 batch 18Aug,BATCH-0002
STL-100005,UTR2026080401005,45984563,2026-08-04,0,0,Settlement for INV-2005 batch 04Aug,BATCH-0000
STL-100102,UTR2026082701102,5612027,2026-08-27,0,0,Settlement for INV-2102 batch 27Aug,BATCH-0010
