settlement_id,utr_reference,amount_inr,settlement_date,fee_inr,tax_inr,narration,batch_id
STL-000101,UTR-SYN-000101,4792400,2026-08-19,96615,17390,Settlement for INV-000101 batch BATCH-000101,BATCH-000101
STL-000102,UTR-SYN-000102,749800,2026-08-04,15339,2761,Settlement for INV-000102 batch BATCH-000102,BATCH-000102
STL-000103,UTR-SYN-000103,35800,2026-08-12,644,115,Settlement for INV-000103 batch BATCH-000103,BATCH-000103
STL-000104,UTR-SYN-000104,1451900,2026-08-01,33021,5943,Settlement for INV-000104 batch BATCH-000104,BATCH-000104
STL-000105,UTR-SYN-000105,1691600,2026-08-21,39538,7116,Settlement for INV-000105 batch BATCH-000105,BATCH-000105
STL-000106,UTR-SYN-000106,3854000,2026-08-20,85261,15346,Settlement for INV-000106 batch BATCH-000106,BATCH-000106
STL-000107,UTR-SYN-000107,4046500,2026-08-11,92161,16588,Settlement for INV-000107 batch BATCH-000107,BATCH-000107
STL-000108,UTR-SYN-000108,241900,2026-08-25,4105,738,Settlement for INV-000108 batch BATCH-000108,BATCH-000108
STL-000109,UTR-SYN-000109,6504700,2026-08-11,82789,14902,Settlement for INV-000109 batch BATCH-000109,BATCH-000109
STL-000110,UTR-SYN-000110,2693100,2026-08-20,55256,9946,Settlement for INV-000110 batch BATCH-000110,BATCH-000110
STL-000111,UTR-SYN-000111,33200,2026-08-08,690,124,Settlement for INV-000111 batch BATCH-000111,BATCH-000111
STL-000112,UTR-SYN-000112,38863900,2026-08-15,850885,153159,Settlement for INV-000112 batch BATCH-000112,BATCH-000112
STL-000113,UTR-SYN-000113,582000,2026-08-10,11616,2090,Settlement for INV-000113 batch BATCH-000113,BATCH-000113
STL-000114,UTR-SYN-000114,4627200,2026-08-14,115446,20780,Settlement for INV-000114 batch BATCH-000114,BATCH-000114
STL-000115,UTR-SYN-000115,41849800,2026-08-09,610979,109976,Settlement for INV-000115 batch BATCH-000115,BATCH-000115
STL-000116,UTR-SYN-000116,28600,2026-08-24,515,92,Settlement for INV-000116 batch BATCH-000116,BATCH-000116
STL-000117,UTR-SYN-000117,16344700,2026-08-09,341093,61396,Settlement for INV-000117 batch BATCH-000117,BATCH-000117
STL-000118,UTR-SYN-000118,82800,2026-08-27,1069,192,Settlement for INV-000118 batch BATCH-000118,BATCH-000118
STL-000119,UTR-SYN-000119,28200,2026-08-23,507,91,Settlement for INV-000119 batch BATCH-000119,BATCH-000119
STL-000120,UTR-SYN-000120,1357300,2026-08-23,32794,5902,Settlement for INV-000120 batch BATCH-000120,BATCH-000120
STL-000121,UTR-SYN-000121,1672300,2026-08-16,28731,5171,Settlement for INV-000121 batch BATCH-000121,BATCH-000121
STL-000122,UTR-SYN-000122,18237100,2026-08-04,407266,73307,Settlement for INV-000122 batch BATCH-000122,BATCH-000122
STL-000123,UTR-SYN-000123,46000,2026-08-05,562,101,Settlement for INV-000123 batch BATCH-000123,BATCH-000123
STL-000124,UTR-SYN-000124,62600,2026-08-18,1343,241,Settlement for INV-000124 batch BATCH-000124,BATCH-000124
STL-000125,UTR-SYN-000125,24942700,2026-08-15,360678,64922,Settlement for INV-000125 batch BATCH-000125,BATCH-000125
STL-000126,UTR-SYN-000126,65200,2026-08-20,1590,286,Settlement for INV-000126 batch BATCH-000126,BATCH-000126
STL-000127,UTR-SYN-000127,15100,2026-08-06,205,36,Settlement for INV-000127 batch BATCH-000127,BATCH-000127
STL-000128,UTR-SYN-000128,5140200,2026-08-15,104554,18819,Settlement for INV-000128 batch BATCH-000128,BATCH-000128
STL-000129,UTR-SYN-000129,1213900,2026-08-23,17286,3111,Settlement for INV-000129 batch BATCH-000129,BATCH-000129
STL-000130,UTR-SYN-000130,843800,2026-08-09,18409,3313,Settlement for INV-000130 batch BATCH-000130,BATCH-000130
STL-000131,UTR-SYN-000131,424100,2026-08-21,5188,933,Settlement for INV-000131 batch BATCH-000131,BATCH-000131
STL-000132,UTR-SYN-000132,333000,2026-08-26,4866,875,Settlement for INV-000132 batch BATCH-000132,BATCH-000132
STL-000133,UTR-SYN-000133,11519700,2026-08-23,167742,30193,Settlement for INV-000133 batch BATCH-000133,BATCH-000133
STL-000134,UTR-SYN-000134,33310500,2026-08-15,373298,67193,Settlement for INV-000134 batch BATCH-000134,BATCH-000134
STL-000135,UTR-SYN-000135,3112300,2026-08-01,35386,6369,Settlement for INV-000135 batch BATCH-000135,BATCH-000135
STL-000136,UTR-SYN-000136,74000,2026-08-25,1579,284,Settlement for INV-000136 batch BATCH-000136,BATCH-000136
STL-000137,UTR-SYN-000137,950200,2026-08-19,15714,2828,Settlement for INV-000137 batch BATCH-000137,BATCH-000137
STL-000138,UTR-SYN-000138,1597900,2026-08-14,23967,4314,Settlement for INV-000138 batch BATCH-000138,BATCH-000138
STL-000139,UTR-SYN-000139,22291200,2026-08-23,388580,69944,Settlement for INV-000139 batch BATCH-000139,BATCH-000139
STL-000140,UTR-SYN-000140,6923900,2026-08-03,101904,18342,Settlement for INV-000140 batch BATCH-000140,BATCH-000140
STL-000141,UTR-SYN-000141,38100,2026-08-22,877,157,Settlement for INV-000141 batch BATCH-000141,BATCH-000141
STL-000142,UTR-SYN-000142,1355200,2026-08-20,28928,5207,Settlement for INV-000142 batch BATCH-000142,BATCH-000142
STL-000143,UTR-SYN-000143,1338200,2026-08-18,16011,2881,Settlement for INV-000143 batch BATCH-000143,BATCH-000143
STL-000144,UTR-SYN-000144,34400,2026-08-21,658,118,Settlement for INV-000144 batch BATCH-000144,BATCH-000144
STL-000145,UTR-SYN-000145,29500,2026-08-18,475,85,Settlement for INV-000145 batch BATCH-000145,BATCH-000145
STL-000146,UTR-SYN-000146,285800,2026-08-16,6856,1234,Settlement for INV-000146 batch BATCH-000146,BATCH-000146
STL-000147,UTR-SYN-000147,26783600,2026-08-16,365755,65835,Settlement for INV-000147 batch BATCH-000147,BATCH-000147
STL-000148,UTR-SYN-000148,336900,2026-08-03,4765,857,Settlement for INV-000148 batch BATCH-000148,BATCH-000148
STL-000149,UTR-SYN-000149,3227400,2026-08-27,32398,5831,Settlement for INV-000149 batch BATCH-000149,BATCH-000149
STL-000150,UTR-SYN-000150,35404600,2026-08-05,591193,106414,Settlement for INV-000150 batch BATCH-000150,BATCH-000150
STL-000151,UTR-SYN-000151,33936300,2026-08-15,814226,146560,Settlement for INV-000151 batch BATCH-000151,BATCH-000151
STL-000152,UTR-SYN-000152,34978600,2026-08-08,798918,143805,Settlement for INV-000152 batch BATCH-000152,BATCH-000152
STL-000153,UTR-SYN-000153,44043900,2026-08-23,1043904,187902,Settlement for INV-000153 batch BATCH-000153,BATCH-000153
STL-000154,UTR-SYN-000154,44000,2026-08-05,771,138,Settlement for INV-000154 batch BATCH-000154,BATCH-000154
STL-000155,UTR-SYN-000155,49304400,2026-08-04,882019,158763,Settlement for INV-000155 batch BATCH-000155,BATCH-000155
STL-000156,UTR-SYN-000156,125100,2026-08-03,2131,383,Settlement for INV-000156 batch BATCH-000156,BATCH-000156
STL-000157,UTR-SYN-000157,32100,2026-08-11,731,131,Settlement for INV-000157 batch BATCH-000157,BATCH-000157
STL-000158,UTR-SYN-000158,21602100,2026-08-18,227653,40977,Settlement for INV-000158 batch BATCH-000158,BATCH-000158
STL-000159,UTR-SYN-000159,12000,2026-08-14,296,53,Settlement for INV-000159 batch BATCH-000159,BATCH-000159
STL-000160,UTR-SYN-000160,3907600,2026-08-01,41771,7518,Settlement for INV-000160 batch BATCH-000160,BATCH-000160
STL-000161,UTR-SYN-000161,2922600,2026-08-14,35607,6409,Settlement for INV-000161 batch BATCH-000161,BATCH-000161
STL-000162,UTR-SYN-000162,775100,2026-08-06,9786,1761,Settlement for INV-000162 batch BATCH-000162,BATCH-000162
STL-000163,UTR-SYN-000163,726700,2026-08-08,12293,2212,Settlement for INV-000163 batch BATCH-000163,BATCH-000163
STL-000164,UTR-SYN-000164,31000,2026-08-26,526,94,Settlement for INV-000164 batch BATCH-000164,BATCH-000164
STL-000165,UTR-SYN-000165,8872400,2026-08-12,220166,39629,Settlement for INV-000165 batch BATCH-000165,BATCH-000165
STL-000166,UTR-SYN-000166,2639000,2026-08-07,65950,11871,Settlement for INV-000166 batch BATCH-000166,BATCH-000166
STL-000167,UTR-SYN-000167,17436400,2026-08-19,268248,48284,Settlement for INV-000167 batch BATCH-000167,BATCH-000167
STL-000168,UTR-SYN-000168,48517800,2026-08-09,491071,88392,Settlement for INV-000168 batch BATCH-000168,BATCH-000168
STL-000169,UTR-SYN-000169,44068400,2026-08-27,1038354,186903,Settlement for INV-000169 batch BATCH-000169,BATCH-000169
STL-000170,UTR-SYN-000170,4978400,2026-08-08,97324,17518,Settlement for INV-000170 batch BATCH-000170,BATCH-000170
STL-000171,UTR-SYN-000171,68500,2026-08-21,1349,242,Settlement for INV-000171 batch BATCH-000171,BATCH-000171
STL-000172,UTR-SYN-000172,1218600,2026-08-24,14588,2625,Settlement for INV-000172 batch BATCH-000172,BATCH-000172
STL-000173,UTR-SYN-000173,44189500,2026-08-06,574990,103498,Settlement for INV-000173 batch BATCH-000173,BATCH-000173
STL-000174,UTR-SYN-000174,3397600,2026-08-27,42361,7624,Settlement for INV-000174 batch BATCH-000174,BATCH-000174
STL-000175,UTR-SYN-000175,2934200,2026-08-26,34410,6193,Settlement for INV-000175 batch BATCH-000175,BATCH-000175
STL-000176,UTR-SYN-000176,40458800,2026-08-26,742810,133705,Settlement for INV-000176 batch BATCH-000176,BATCH-000176
STL-000177,UTR-SYN-000177,14200,2026-08-15,220,39,Settlement for INV-000177 batch BATCH-000177,BATCH-000177
STL-000178,UTR-SYN-000178,4830900,2026-08-04,97210,17497,Settlement for INV-000178 batch BATCH-000178,BATCH-000178
STL-000179,UTR-SYN-000179,141000,2026-08-21,1543,277,Settlement for INV-000179 batch BATCH-000179,BATCH-000179
STL-000180,UTR-SYN-000180,39038800,2026-08-04,472238,85002,Settlement for INV-000180 batch BATCH-000180,BATCH-000180
STL-000181,UTR-SYN-000181,8800,2026-08-08,205,36,Settlement for INV-000181 batch BATCH-000181,BATCH-000181
STL-000182,UTR-SYN-000182,24451600,2026-08-19,516760,93016,Settlement for INV-000182 batch BATCH-000182,BATCH-000182
STL-000183,UTR-SYN-000183,48709500,2026-08-20,785281,141350,Settlement for INV-000183 batch BATCH-000183,BATCH-000183
STL-000184,UTR-SYN-000184,16391100,2026-08-15,397620,71571,Settlement for INV-000184 batch BATCH-000184,BATCH-000184
STL-000185,UTR-SYN-000185,1651100,2026-08-18,38842,6991,Settlement for INV-000185 batch BATCH-000185,BATCH-000185
STL-000186,UTR-SYN-000186,1396800,2026-08-07,34253,6165,Settlement for INV-000186 batch BATCH-000186,BATCH-000186
STL-000187,UTR-SYN-000187,845000,2026-08-21,16555,2979,Settlement for INV-000187 batch BATCH-000187,BATCH-000187
STL-000188,UTR-SYN-000188,182800,2026-08-26,3376,607,Settlement for INV-000188 batch BATCH-000188,BATCH-000188
STL-000189,UTR-SYN-000189,439400,2026-08-11,9497,1709,Settlement for INV-000189 batch BATCH-000189,BATCH-000189
STL-000190,UTR-SYN-000190,104600,2026-08-18,1439,259,Settlement for INV-000190 batch BATCH-000190,BATCH-000190
STL-000191,UTR-SYN-000191,22800,2026-08-12,498,89,Settlement for INV-000191 batch BATCH-000191,BATCH-000191
STL-000192,UTR-SYN-000192,1103400,2026-08-02,13131,2363,Settlement for INV-000192 batch BATCH-000192,BATCH-000192
STL-000193,UTR-SYN-000193,48100,2026-08-16,804,144,Settlement for INV-000193 batch BATCH-000193,BATCH-000193
STL-000194,UTR-SYN-000194,10717500,2026-08-17,142791,25702,Settlement for INV-000194 batch BATCH-000194,BATCH-000194
STL-000195,UTR-SYN-000195,20814100,2026-08-21,509121,91641,Settlement for INV-000195 batch BATCH-000195,BATCH-000195
STL-000196,UTR-SYN-000196,11200,2026-08-16,231,41,Settlement for INV-000196 batch BATCH-000196,BATCH-000196
STL-000197,UTR-SYN-000197,220400,2026-08-03,2621,471,Settlement for INV-000197 batch BATCH-000197,BATCH-000197
STL-000198,UTR-SYN-000198,3069009,2026-08-20,52620,9471,Stl INV-000198 net of fees,BATCH-000198
STL-000199,UTR-SYN-000199,257308,2026-08-08,4316,776,Stl INV-000199 net of fees,BATCH-000199
STL-000200,UTR-SYN-000200,25264683,2026-08-11,542557,97660,Stl INV-000200 net of fees,BATCH-000200
STL-000201,UTR-SYN-000201,597339,2026-08-16,12425,2236,Stl INV-000201 net of fees,BATCH-000201
STL-000202,UTR-SYN-000202,9754323,2026-08-24,113201,20376,Stl INV-000202 net of fees,BATCH-000202
STL-000203,UTR-SYN-000203,4536275,2026-08-14,93157,16768,Stl INV-000203 net of fees,BATCH-000203
STL-000204,UTR-SYN-000204,1313001,2026-08-19,20423,3676,Stl INV-000204 net of fees,BATCH-000204
STL-000205,UTR-SYN-000205,38809996,2026-08-04,526953,94851,Stl INV-000205 net of fees,BATCH-000205
STL-000206,UTR-SYN-000206,1714404,2026-08-26,32624,5872,Stl INV-000206 net of fees,BATCH-000206
STL-000207,UTR-SYN-000207,4929648,2026-08-09,52078,9374,Stl INV-000207 net of fees,BATCH-000207
STL-000208,UTR-SYN-000208,75746,2026-08-05,978,176,Stl INV-000208 net of fees,BATCH-000208
STL-000209,UTR-SYN-000209,62057,2026-08-17,715,128,Stl INV-000209 net of fees,BATCH-000209
STL-000210,UTR-SYN-000210,3696683,2026-08-10,46371,8346,Stl INV-000210 net of fees,BATCH-000210
STL-000211,UTR-SYN-000211,76639,2026-08-05,1832,329,Stl INV-000211 net of fees,BATCH-000211
STL-000212,UTR-SYN-000212,18812936,2026-08-16,383953,69111,Stl INV-000212 net of fees,BATCH-000212
STL-000213,UTR-SYN-000213,824200,2026-08-28,9649,1736,Delayed batch BATCH-000213 for INV-000213,BATCH-000213
STL-000214,UTR-SYN-000214,40558100,2026-08-20,593214,106778,Delayed batch BATCH-000214 for INV-000214,BATCH-000214
STL-000215,UTR-SYN-000215,27500,2026-08-09,664,119,Delayed batch BATCH-000215 for INV-000215,BATCH-000215
STL-000216,UTR-SYN-000216,2674500,2026-08-05,46698,8405,Delayed batch BATCH-000216 for INV-000216,BATCH-000216
STL-000217,UTR-SYN-000217,387800,2026-08-20,8725,1570,Delayed batch BATCH-000217 for INV-000217,BATCH-000217
STL-000218,UTR-SYN-000218,87500,2026-08-15,1478,266,Delayed batch BATCH-000218 for INV-000218,BATCH-000218
STL-000219,UTR-SYN-000219,27506800,2026-08-26,447409,80533,Delayed batch BATCH-000219 for INV-000219,BATCH-000219
STL-000220,UTR-SYN-000220,763600,2026-08-29,12905,2322,Delayed batch BATCH-000220 for INV-000220,BATCH-000220
STL-000221,UTR-SYN-000221,75600,2026-08-10,1423,256,Delayed batch BATCH-000221 for INV-000221,BATCH-000221
STL-000222,UTR-SYN-000222,3593600,2026-08-10,77933,14027,Delayed batch BATCH-000222 for INV-000222,BATCH-000222
STL-000223,UTR-SYN-000223,936300,2026-08-27,14294,2572,Delayed batch BATCH-000223 for INV-000223,BATCH-000223
STL-000224,UTR-SYN-000224,341900,2026-08-10,4308,775,Delayed batch BATCH-000224 for INV-000224,BATCH-000224
STL-000225,UTR-SYN-000225,32519914,2026-08-19,695866,125255,Partial settlement INV-000225,BATCH-000225
STL-000226,UTR-SYN-000226,11270297,2026-08-15,219441,39499,Partial settlement INV-000226,BATCH-000226
STL-000227,UTR-SYN-000227,3398821,2026-08-10,57528,10355,Partial settlement INV-000227,BATCH-000227
STL-000228,UTR-SYN-000228,2969990,2026-08-03,57098,10277,Partial settlement INV-000228,BATCH-000228
STL-000229,UTR-SYN-000229,40975,2026-08-26,761,136,Partial settlement INV-000229,BATCH-000229
STL-000230,UTR-SYN-000230,323949,2026-08-15,3742,673,Partial settlement INV-000230,BATCH-000230
STL-000231,UTR-SYN-000231,585966,2026-08-23,9707,1747,Partial settlement INV-000231,BATCH-000231
STL-000232,UTR-SYN-000232,723207,2026-08-10,11434,2058,Partial settlement INV-000232,BATCH-000232
STL-000233,UTR-SYN-000233,39171600,2026-08-10,539782,97160,"Combined INV-000233, INV-000234",BATCH-000233
STL-000234,UTR-SYN-000234,39742400,2026-08-05,752149,135386,"Combined INV-000235, INV-000236",BATCH-000234
STL-000235,UTR-SYN-000235,14562500,2026-08-17,224661,40438,"Combined INV-000237, INV-000238",BATCH-000235
STL-000236,UTR-SYN-000236,2181300,2026-08-05,24337,4380,Split settlement A for INV-000239,BATCH-000236
STL-000237,UTR-SYN-000237,896700,2026-08-05,20324,3658,Split settlement B for INV-000239,BATCH-000236
STL-000238,UTR-SYN-000238,15300,2026-08-05,190,34,Split settlement A for INV-000240,BATCH-000237
STL-000239,UTR-SYN-000239,36312900,2026-08-05,815957,146872,Split settlement B for INV-000240,BATCH-000237
STL-000240,UTR-SYN-000240,7290700,2026-08-25,154767,27858,Split settlement A for INV-000241,BATCH-000238
