invoice_id,customer_ref,amount_inr,invoice_date,memo,status
INV-000001,CUST-000001,1163900,2026-08-08,Payment received for order 0001,paid
INV-000002,CUST-000002,9558000,2026-08-02,Payment received for order 0002,paid
INV-000003,CUST-000003,27300,2026-08-18,Payment received for order 0003,paid
INV-000004,CUST-000004,16557400,2026-08-19,Payment received for order 0004,paid
INV-000005,CUST-000005,41602600,2026-08-11,Payment received for order 0005,paid
INV-000006,CUST-000006,9862500,2026-08-04,Payment received for order 0006,paid
INV-000007,CUST-000007,43258900,2026-08-18,Payment received for order 0007,paid
INV-000008,CUST-000008,1516400,2026-08-27,Payment received for order 0008,paid
INV-000009,CUST-000009,95600,2026-08-02,Payment received for order 0009,paid
INV-000010,CUST-000010,574100,2026-08-04,Payment received for order 0010,paid
INV-000011,CUST-000011,2065900,2026-08-07,Payment received for order 0011,paid
INV-000012,CUST-000012,216900,2026-08-18,Payment received for order 0012,paid
INV-000013,CUST-000013,857300,2026-08-22,Payment received for order 0013,paid
INV-000014,CUST-000014,83600,2026-08-26,Payment received for order 0014,paid
INV-000015,CUST-000015,2382600,2026-08-07,Payment received for order 0015,paid
INV-000016,CUST-000016,851700,2026-08-08,Payment received for order 0016,paid
INV-000017,CUST-000017,27462200,2026-08-12,Payment received for order 0017,paid
INV-000018,CUST-000018,19100,2026-08-04,Payment received for order 0018,paid
INV-000019,CUST-000019,8330600,2026-08-13,Payment received for order 0019,paid
INV-000020,CUST-000020,52900,2026-08-22,Payment received for order 0020,paid
INV-000021,CUST-000021,2748600,2026-08-04,Payment received for order 0021,paid
INV-000022,CUST-000022,1021200,2026-08-17,Payment received for order 0022,paid
INV-000023,CUST-000023,274300,2026-08-05,Payment received for order 0023,paid
INV-000024,CUST-000024,4475700,2026-08-16,Payment received for order 0024,paid
INV-000025,CUST-000025,603800,2026-08-19,Payment received for order 0025,paid
INV-000026,CUST-000026,896200,2026-08-05,Payment received for order 0026,paid
INV-000027,CUST-000027,32665300,2026-08-07,Payment received for order 0027,paid
INV-000028,CUST-000028,3042800,2026-08-15,Payment received for order 0028,paid
INV-000029,CUST-000029,51200,2026-08-11,Payment received for order 0029,paid
INV-000030,CUST-000030,61700,2026-08-03,Payment received for order 0030,paid
INV-000031,CUST-000031,1441700,2026-08-03,Payment received for order 0031,paid
INV-000032,CUST-000032,895300,2026-08-24,Payment received for order 0032,paid
INV-000033,CUST-000033,46136600,2026-08-26,Payment received for order 0033,paid
INV-000034,CUST-000034,23575300,2026-08-14,Payment received for order 0034,paid
INV-000035,CUST-000035,8177800,2026-08-24,Payment received for order 0035,paid
INV-000036,CUST-000036,279000,2026-08-18,Payment received for order 0036,paid
INV-000037,CUST-000037,400600,2026-08-03,Payment received for order 0037,paid
INV-000038,CUST-000038,93200,2026-08-03,Payment received for order 0038,paid
INV-000039,CUST-000039,26307800,2026-08-16,Payment received for order 0039,paid
INV-000040,CUST-000040,46000,2026-08-13,Payment received for order 0040,paid
INV-000041,CUST-000041,27177700,2026-08-05,Payment received for order 0041,paid
INV-000042,CUST-000042,27200,2026-08-24,Payment received for order 0042,paid
INV-000043,CUST-000043,881100,2026-08-02,Payment received for order 0043,paid
INV-000044,CUST-000044,13200,2026-08-22,Payment received for order 0044,paid
INV-000045,CUST-000045,46300,2026-08-20,Payment received for order 0045,paid
INV-000046,CUST-000046,956500,2026-08-22,Payment received for order 0046,paid
INV-000047,CUST-000047,3593800,2026-08-15,Payment received for order 0047,paid
INV-000048,CUST-000048,81900,2026-08-03,Payment received for order 0048,paid
INV-000049,CUST-000049,56800,2026-08-08,Payment received for order 0049,paid
INV-000050,CUST-000050,4560000,2026-08-20,Payment received for order 0050,paid
INV-000051,CUST-000051,1051200,2026-08-22,Payment received for order 0051,paid
INV-000052,CUST-000052,94900,2026-08-24,Payment received for order 0052,paid
INV-000053,CUST-000053,4963800,2026-08-07,Payment received for order 0053,paid
INV-000054,CUST-000054,4312200,2026-08-02,Payment received for order 0054,paid
INV-000055,CUST-000055,1288900,2026-08-25,Payment received for order 0055,paid
INV-000056,CUST-000056,33923900,2026-08-18,Payment received for order 0056,paid
INV-000057,CUST-000057,4575500,2026-08-19,Payment received for order 0057,paid
INV-000058,CUST-000058,1274100,2026-08-26,Payment received for order 0058,paid
INV-000059,CUST-000059,686200,2026-08-22,Payment received for order 0059,paid
INV-000060,CUST-000060,765800,2026-08-26,Payment received for order 0060,paid
INV-000061,CUST-000061,1162400,2026-08-26,Payment received for order 0061,paid
INV-000062,CUST-000062,87100,2026-08-13,Payment received for order 0062,paid
INV-000063,CUST-000063,15463300,2026-08-12,Payment received for order 0063,paid
INV-000064,CUST-000064,472800,2026-08-13,Payment received for order 0064,paid
INV-000065,CUST-000065,23410100,2026-08-22,Payment received for order 0065,paid
INV-000066,CUST-000066,1180800,2026-08-06,Payment received for order 0066,paid
INV-000067,CUST-000067,36277500,2026-08-12,Payment received for order 0067,paid
INV-000068,CUST-000068,37100,2026-08-13,Payment received for order 0068,paid
INV-000069,CUST-000069,42160700,2026-08-01,Payment received for order 0069,paid
INV-000070,CUST-000070,24095600,2026-08-03,Payment received for order 0070,paid
INV-000071,CUST-000071,99200,2026-08-24,Payment received for order 0071,paid
INV-000072,CUST-000072,22101300,2026-08-23,Payment received for order 0072,paid
INV-000073,CUST-000073,39861400,2026-08-22,Payment received for order 0073,paid
INV-000074,CUST-000074,22800,2026-08-10,Payment received for order 0074,paid
INV-000075,CUST-000075,28162300,2026-08-22,Payment received for order 0075,paid
INV-000076,CUST-000076,1555700,2026-08-03,Payment received for order 0076,paid
INV-000077,CUST-000077,484800,2026-08-05,Payment received for order 0077,paid
INV-000078,CUST-000078,28876900,2026-08-21,Payment received for order 0078,paid
INV-000079,CUST-000079,729100,2026-08-05,Payment received for order 0079,paid
INV-000080,CUST-000080,274600,2026-08-26,Payment received for order 0080,paid
INV-000081,CUST-000081,861100,2026-08-04,Payment received for order 0081,paid
INV-000082,CUST-000082,4480800,2026-08-25,Payment received for order 0082,paid
INV-000083,CUST-000083,48545700,2026-08-06,Payment received for order 0083,paid
INV-000084,CUST-000084,837300,2026-08-27,Payment received for order 0084,paid
INV-000085,CUST-000085,954000,2026-08-09,Payment received for order 0085,paid
INV-000086,CUST-000086,2536700,2026-08-11,Payment received for order 0086,paid
INV-000087,CUST-000087,17124700,2026-08-23,Payment received for order 0087,paid
INV-000088,CUST-000088,3718800,2026-08-18,Payment received for order 0088,paid
INV-000089,CUST-000089,11300,2026-08-25,Payment received for order 0089,paid
INV-000090,CUST-000090,20655900,2026-08-27,Payment received for order 0090,paid
INV-000091,CUST-000091,16562500,2026-08-08,Payment received for order 0091,paid
INV-000092,CUST-000092,22622800,2026-08-24,Payment received for order 0092,paid
INV-000093,CUST-000093,6413800,2026-08-19,Payment received for order 0093,paid
INV-000094,CUST-000094,12114500,2026-08-06,Payment received for order 0094,paid
INV-000095,CUST-000095,2387100,2026-08-11,Payment received for order 0095,paid
INV-000096,CUST-000096,43800,2026-08-16,Payment received for order 0096,paid
INV-000097,CUST-000097,60200,2026-08-25,Payment received for order 0097,paid
INV-000098,CUST-000098,9100,2026-08-20,Payment received for order 0098,paid
INV-000099,CUST-000099,875800,2026-08-15,Payment received for order 0099,paid
INV-000100,CUST-000100,83500,2026-08-25,Payment received for order 0100,paid
