invoice_id,customer_ref,amount_inr,invoice_date,memo,status
INV-000101,CUST-000101,4792400,2026-08-19,Auto-paid INV-000101,paid
INV-000102,CUST-000102,749800,2026-08-04,Auto-paid INV-000102,paid
INV-000103,CUST-000103,35800,2026-08-12,Auto-paid INV-000103,paid
INV-000104,CUST-000104,1451900,2026-08-01,Auto-paid INV-000104,paid
INV-000105,CUST-000105,1691600,2026-08-21,Auto-paid INV-000105,paid
INV-000106,CUST-000106,3854000,2026-08-20,Auto-paid INV-000106,paid
INV-000107,CUST-000107,4046500,2026-08-11,Auto-paid INV-000107,paid
INV-000108,CUST-000108,241900,2026-08-25,Auto-paid INV-000108,paid
INV-000109,CUST-000109,6504700,2026-08-11,Auto-paid INV-000109,paid
INV-000110,CUST-000110,2693100,2026-08-20,Auto-paid INV-000110,paid
INV-000111,CUST-000111,33200,2026-08-08,Auto-paid INV-000111,paid
INV-000112,CUST-000112,38863900,2026-08-15,Auto-paid INV-000112,paid
INV-000113,CUST-000113,582000,2026-08-10,Auto-paid INV-000113,paid
INV-000114,CUST-000114,4627200,2026-08-14,Auto-paid INV-000114,paid
INV-000115,CUST-000115,41849800,2026-08-09,Auto-paid INV-000115,paid
INV-000116,CUST-000116,28600,2026-08-24,Auto-paid INV-000116,paid
INV-000117,CUST-000117,16344700,2026-08-09,Auto-paid INV-000117,paid
INV-000118,CUST-000118,82800,2026-08-27,Auto-paid INV-000118,paid
INV-000119,CUST-000119,28200,2026-08-23,Auto-paid INV-000119,paid
INV-000120,CUST-000120,1357300,2026-08-23,Auto-paid INV-000120,paid
INV-000121,CUST-000121,1672300,2026-08-16,Auto-paid INV-000121,paid
INV-000122,CUST-000122,18237100,2026-08-04,Auto-paid INV-000122,paid
INV-000123,CUST-000123,46000,2026-08-05,Auto-paid INV-000123,paid
INV-000124,CUST-000124,62600,2026-08-18,Auto-paid INV-000124,paid
INV-000125,CUST-000125,24942700,2026-08-15,Auto-paid INV-000125,paid
INV-000126,CUST-000126,65200,2026-08-20,Auto-paid INV-000126,paid
INV-000127,CUST-000127,15100,2026-08-06,Auto-paid INV-000127,paid
INV-000128,CUST-000128,5140200,2026-08-15,Auto-paid INV-000128,paid
INV-000129,CUST-000129,1213900,2026-08-23,Auto-paid INV-000129,paid
INV-000130,CUST-000130,843800,2026-08-09,Auto-paid INV-000130,paid
INV-000131,CUST-000131,424100,2026-08-21,Auto-paid INV-000131,paid
INV-000132,CUST-000132,333000,2026-08-26,Auto-paid INV-000132,paid
INV-000133,CUST-000133,11519700,2026-08-23,Auto-paid INV-000133,paid
INV-000134,CUST-000134,33310500,2026-08-15,Auto-paid INV-000134,paid
INV-000135,CUST-000135,3112300,2026-08-01,Auto-paid INV-000135,paid
INV-000136,CUST-000136,74000,2026-08-25,Auto-paid INV-000136,paid
INV-000137,CUST-000137,950200,2026-08-19,Auto-paid INV-000137,paid
INV-000138,CUST-000138,1597900,2026-08-14,Auto-paid INV-000138,paid
INV-000139,CUST-000139,22291200,2026-08-23,Auto-paid INV-000139,paid
INV-000140,CUST-000140,6923900,2026-08-03,Auto-paid INV-000140,paid
INV-000141,CUST-000141,38100,2026-08-22,Auto-paid INV-000141,paid
INV-000142,CUST-000142,1355200,2026-08-20,Auto-paid INV-000142,paid
INV-000143,CUST-000143,1338200,2026-08-18,Auto-paid INV-000143,paid
INV-000144,CUST-000144,34400,2026-08-21,Auto-paid INV-000144,paid
INV-000145,CUST-000145,29500,2026-08-18,Auto-paid INV-000145,paid
INV-000146,CUST-000146,285800,2026-08-16,Auto-paid INV-000146,paid
INV-000147,CUST-000147,26783600,2026-08-16,Auto-paid INV-000147,paid
INV-000148,CUST-000148,336900,2026-08-03,Auto-paid INV-000148,paid
INV-000149,CUST-000149,3227400,2026-08-27,Auto-paid INV-000149,paid
INV-000150,CUST-000150,35404600,2026-08-05,Auto-paid INV-000150,paid
INV-000151,CUST-000151,33936300,2026-08-15,Auto-paid INV-000151,paid
INV-000152,CUST-000152,34978600,2026-08-08,Auto-paid INV-000152,paid
INV-000153,CUST-000153,44043900,2026-08-23,Auto-paid INV-000153,paid
INV-000154,CUST-000154,44000,2026-08-05,Auto-paid INV-000154,paid
INV-000155,CUST-000155,49304400,2026-08-04,Auto-paid INV-000155,paid
INV-000156,CUST-000156,125100,2026-08-03,Auto-paid INV-000156,paid
INV-000157,CUST-000157,32100,2026-08-11,Auto-paid INV-000157,paid
INV-000158,CUST-000158,21602100,2026-08-18,Auto-paid INV-000158,paid
INV-000159,CUST-000159,12000,2026-08-14,Auto-paid INV-000159,paid
INV-000160,CUST-000160,3907600,2026-08-01,Auto-paid INV-000160,paid
INV-000161,CUST-000161,2922600,2026-08-14,Auto-paid INV-000161,paid
INV-000162,CUST-000162,775100,2026-08-06,Auto-paid INV-000162,paid
INV-000163,CUST-000163,726700,2026-08-08,Auto-paid INV-000163,paid
INV-000164,CUST-000164,31000,2026-08-26,Auto-paid INV-000164,paid
INV-000165,CUST-000165,8872400,2026-08-12,Auto-paid INV-000165,paid
INV-000166,CUST-000166,2639000,2026-08-07,Auto-paid INV-000166,paid
INV-000167,CUST-000167,17436400,2026-08-19,Auto-paid INV-000167,paid
INV-000168,CUST-000168,48517800,2026-08-09,Auto-paid INV-000168,paid
INV-000169,CUST-000169,44068400,2026-08-27,Auto-paid INV-000169,paid
INV-000170,CUST-000170,4978400,2026-08-08,Auto-paid INV-000170,paid
INV-000171,CUST-000171,68500,2026-08-21,Auto-paid INV-000171,paid
INV-000172,CUST-000172,1218600,2026-08-24,Auto-paid INV-000172,paid
INV-000173,CUST-000173,44189500,2026-08-06,Auto-paid INV-000173,paid
INV-000174,CUST-000174,3397600,2026-08-27,Auto-paid INV-000174,paid
INV-000175,CUST-000175,2934200,2026-08-26,Auto-paid INV-000175,paid
INV-000176,CUST-000176,40458800,2026-08-26,Auto-paid INV-000176,paid
INV-000177,CUST-000177,14200,2026-08-15,Auto-paid INV-000177,paid
INV-000178,CUST-000178,4830900,2026-08-04,Auto-paid INV-000178,paid
INV-000179,CUST-000179,141000,2026-08-21,Auto-paid INV-000179,paid
INV-000180,CUST-000180,39038800,2026-08-04,Auto-paid INV-000180,paid
INV-000181,CUST-000181,8800,2026-08-08,Auto-paid INV-000181,paid
INV-000182,CUST-000182,24451600,2026-08-19,Auto-paid INV-000182,paid
INV-000183,CUST-000183,48709500,2026-08-20,Auto-paid INV-000183,paid
INV-000184,CUST-000184,16391100,2026-08-15,Auto-paid INV-000184,paid
INV-000185,CUST-000185,1651100,2026-08-18,Auto-paid INV-000185,paid
INV-000186,CUST-000186,1396800,2026-08-07,Auto-paid INV-000186,paid
INV-000187,CUST-000187,845000,2026-08-21,Auto-paid INV-000187,paid
INV-000188,CUST-000188,182800,2026-08-26,Auto-paid INV-000188,paid
INV-000189,CUST-000189,439400,2026-08-11,Auto-paid INV-000189,paid
INV-000190,CUST-000190,104600,2026-08-18,Auto-paid INV-000190,paid
INV-000191,CUST-000191,22800,2026-08-12,Auto-paid INV-000191,paid
INV-000192,CUST-000192,1103400,2026-08-02,Auto-paid INV-000192,paid
INV-000193,CUST-000193,48100,2026-08-16,Auto-paid INV-000193,paid
INV-000194,CUST-000194,10717500,2026-08-17,Auto-paid INV-000194,paid
INV-000195,CUST-000195,20814100,2026-08-21,Auto-paid INV-000195,paid
INV-000196,CUST-000196,11200,2026-08-16,Auto-paid INV-000196,paid
INV-000197,CUST-000197,220400,2026-08-03,Auto-paid INV-000197,paid
INV-000198,CUST-000198,3131100,2026-08-20,Inv INV-000198,paid
INV-000199,CUST-000199,262400,2026-08-08,Inv INV-000199,paid
INV-000200,CUST-000200,25904900,2026-08-11,Inv INV-000200,paid
INV-000201,CUST-000201,612000,2026-08-16,Inv INV-000201,paid
INV-000202,CUST-000202,9887900,2026-08-24,Inv INV-000202,paid
INV-000203,CUST-000203,4646200,2026-08-14,Inv INV-000203,paid
INV-000204,CUST-000204,1337100,2026-08-19,Inv INV-000204,paid
INV-000205,CUST-000205,39431800,2026-08-04,Inv INV-000205,paid
INV-000206,CUST-000206,1752900,2026-08-26,Inv INV-000206,paid
INV-000207,CUST-000207,4991100,2026-08-09,Inv INV-000207,paid
INV-000208,CUST-000208,76900,2026-08-05,Inv INV-000208,paid
INV-000209,CUST-000209,62900,2026-08-17,Inv INV-000209,paid
INV-000210,CUST-000210,3751400,2026-08-10,Inv INV-000210,paid
INV-000211,CUST-000211,78800,2026-08-05,Inv INV-000211,paid
INV-000212,CUST-000212,19266000,2026-08-16,Inv INV-000212,paid
INV-000213,CUST-000213,824200,2026-08-25,Payment INV-000213,paid
INV-000214,CUST-000214,40558100,2026-08-17,Payment INV-000214,paid
INV-000215,CUST-000215,27500,2026-08-07,Payment INV-000215,paid
INV-000216,CUST-000216,2674500,2026-08-04,Payment INV-000216,paid
INV-000217,CUST-000217,387800,2026-08-17,Payment INV-000217,paid
INV-000218,CUST-000218,87500,2026-08-14,Payment INV-000218,paid
INV-000219,CUST-000219,27506800,2026-08-23,Payment INV-000219,paid
INV-000220,CUST-000220,763600,2026-08-26,Payment INV-000220,paid
INV-000221,CUST-000221,75600,2026-08-08,Payment INV-000221,paid
INV-000222,CUST-000222,3593600,2026-08-08,Payment INV-000222,paid
INV-000223,CUST-000223,936300,2026-08-25,Payment INV-000223,paid
INV-000224,CUST-000224,341900,2026-08-09,Payment INV-000224,paid
INV-000225,CUST-000225,45519400,2026-08-19,Refund applied to INV-000225,partial
INV-000226,CUST-000226,12914500,2026-08-15,Refund applied to INV-000226,partial
INV-000227,CUST-000227,4875900,2026-08-10,Refund applied to INV-000227,partial
INV-000228,CUST-000228,3416500,2026-08-03,Refund applied to INV-000228,partial
INV-000229,CUST-000229,56900,2026-08-26,Refund applied to INV-000229,partial
INV-000230,CUST-000230,626700,2026-08-15,Refund applied to INV-000230,partial
INV-000231,CUST-000231,662600,2026-08-23,Refund applied to INV-000231,partial
INV-000232,CUST-000232,958600,2026-08-10,Refund applied to INV-000232,partial
INV-000233,CUST-000233,4918300,2026-08-10,Part of batch payment,paid
INV-000234,CUST-000233,34253300,2026-08-10,Part of batch payment,paid
INV-000235,CUST-000234,346300,2026-08-05,Part of batch payment,paid
INV-000236,CUST-000234,39396100,2026-08-05,Part of batch payment,paid
INV-000237,CUST-000235,4662900,2026-08-17,Part of batch payment,paid
INV-000238,CUST-000235,9899600,2026-08-17,Part of batch payment,paid
INV-000239,CUST-000236,3078000,2026-08-05,Large order INV-000239,paid
INV-000240,CUST-000237,36328200,2026-08-05,Large order INV-000240,paid
INV-000241,CUST-000238,11201800,2026-08-25,Large order INV-000241,paid
INV-000242,CUST-000239,47395100,2026-08-27,Order INV-000242,paid
INV-000242,CUST-000239,47395100,2026-08-27,Order INV-000242 (DUPLICATE ENTRY),paid
INV-000243,CUST-000240,31366700,2026-08-06,Order INV-000243,paid
INV-000244,CUST-000241,38616200,2026-08-12,Order INV-000244,paid
INV-000245,CUST-000242,77800,2026-08-25,Order INV-000245,paid
INV-000245,CUST-000242,77800,2026-08-25,Order INV-000245 (DUPLICATE ENTRY),paid
INV-000246,CUST-000243,48570700,2026-08-03,Order INV-000246,paid
INV-000247,CUST-000244,6398200,2026-08-02,Pending settlement,paid
INV-000248,CUST-000245,15100,2026-08-10,Pending settlement,paid
INV-000249,CUST-000246,43128000,2026-08-04,Pending settlement,paid
INV-000250,CUST-000247,593400,2026-08-14,Inv INV-000250,paid
INV-000251,CUST-000248,10812100,2026-08-20,Inv INV-000251,paid
INV-000252,CUST-000249,944300,2026-08-10,Inv INV-000252,paid
